,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
Apple,377,228,343,83,22.0,32.0
Nvidia,361,188,201,143,60.0,126.0
Amazon,336,237,301,103,41.0,67.0
Intel,249,289,434,85,15.0,13.0
Target,233,269,502,65,5.0,11.0
FordMotor,233,310,359,109,26.0,48.0
JPMorgan,224,234,512,77,20.0,18.0
BankOfAmerica,210,240,502,72,27.0,34.0
Walgreens,201,289,528,61,4.0,2.0
Google,191,197,398,43,1.0,21.0
CVS,182,265,567,62,5.0,4.0
Kroger,181,265,571,56,6.0,6.0
Microsoft,179,258,575,59,5.0,9.0
Costco,167,221,652,38,5.0,2.0
GeneralElectric,159,307,494,81,18.0,26.0
GeneralMotors,121,168,202,30,5.0,11.0
AtandT,120,262,661,41,0.0,1.0
Bitcoin,117,95,81,77,26.0,105.0
Facebook,115,105,197,18,7.0,19.0
Verizon,115,276,665,26,0.0,3.0
ExxonMobil,111,289,650,25,4.0,6.0
Walmart,108,252,700,24,0.0,1.0
Berkshire,105,202,753,23,0.0,2.0
Dell,96,36,88,20,5.0,2.0
JohnsonandJohnson,67,182,820,16,0.0,0.0
