,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
2000.0,293,265,195,151,55.0,61
2001.0,195,279,322,116,21.0,48
2002.0,184,330,285,151,35.0,34
2003.0,272,216,451,33,2.0,26
2004.0,127,210,635,32,9.0,26
2005.0,162,247,596,34,0.0,12
2006.0,157,214,629,36,4.0,10
2007.0,178,264,536,58,5.0,10
2008.0,179,303,290,195,71.0,32
2009.0,272,204,430,57,15.0,73
2010.0,213,265,531,55,1.0,10
2011.0,171,335,513,73,6.0,4
2012.0,192,240,657,25,6.0,11
2013.0,185,228,744,6,0.0,8
2014.0,149,222,768,31,3.0,1
2015.0,183,367,614,43,1.0,17
2016.0,219,252,745,24,0.0,21
2017.0,193,205,789,45,3.0,41
2018.0,179,400,558,100,25.0,11
2019.0,285,230,704,55,0.0,20
2020.0,388,238,432,103,41.0,73
2021.0,182,150,332,14,4.0,20
